template_id,name,scenario,template_version,atom_sequence,slot_sequence,required_adapters,required_risk_rules,required_reporting_requirements,input_contract,output_contract,evidence_refs,readiness_status,notes
TMPL_task_glm,Task GLM,task_glm,0.2.0,"[""ATOM_data_import"",""ATOM_optical_density"",""ATOM_motion_correction"",""ATOM_bandpass_filter"",""ATOM_signal_qc"",""ATOM_short_channel_regression"",""ATOM_mbll_conversion"",""ATOM_first_level_glm"",""ATOM_methods_report""]","[""data_import_slot"",""optical_density_conversion_slot"",""motion_correction_slot"",""bandpass_filter_slot"",""signal_quality_check_slot"",""short_channel_regression_slot"",""mbll_conversion_slot"",""first_level_glm_slot"",""methods_report_generation_slot""]",[],"[""RULE_missing_filter_cutoffs"",""RULE_missing_motion_correction"",""RULE_missing_multiple_comparison_correction"",""RULE_sc_geometry""]","[""REQ_acquisition_params"",""REQ_preprocessing_steps"",""REQ_short_channel"",""REQ_glm_params"",""REQ_reporting_software""]","{""type"":""raw_file_path""}","{""type"":""MethodsReportSection""}",EQ_PMC12929548_07|EQ_PMC12053328_02|EQ_PMC12952035_02,needs_attention,Evidence-backed conservative skeleton; scenario-owner approval is required before use.
TMPL_resting_connectivity,Resting Connectivity,resting_connectivity,0.2.0,"[""ATOM_data_import"",""ATOM_optical_density"",""ATOM_motion_correction"",""ATOM_bandpass_filter"",""ATOM_signal_qc"",""ATOM_short_channel_regression"",""ATOM_mbll_conversion"",""ATOM_resting_connectivity"",""ATOM_methods_report""]","[""data_import_slot"",""optical_density_conversion_slot"",""motion_correction_slot"",""bandpass_filter_slot"",""signal_quality_check_slot"",""short_channel_regression_slot"",""mbll_conversion_slot"",""resting_connectivity_slot"",""methods_report_generation_slot""]",[],"[""RULE_missing_filter_cutoffs"",""RULE_missing_motion_correction"",""RULE_sc_geometry""]","[""REQ_acquisition_params"",""REQ_preprocessing_steps"",""REQ_short_channel"",""REQ_connectivity_params"",""REQ_reporting_software""]","{""type"":""raw_file_path""}","{""type"":""MethodsReportSection""}",EQ_PMC11833346_05|EQ_PMC11833346_09|EQ_PMC11833346_10,needs_attention,Evidence-backed conservative skeleton; scenario-owner approval is required before use.
TMPL_ml_validation,ML Validation,ml_validation,0.2.0,"[""ATOM_data_import"",""ATOM_optical_density"",""ATOM_motion_correction"",""ATOM_bandpass_filter"",""ATOM_mbll_conversion"",""ATOM_ml_feature_extraction"",""ATOM_subject_wise_cv"",""ATOM_ml_classification"",""ATOM_methods_report""]","[""data_import_slot"",""optical_density_conversion_slot"",""motion_correction_slot"",""bandpass_filter_slot"",""mbll_conversion_slot"",""feature_extraction_slot"",""validation_slot"",""classification_slot"",""methods_report_generation_slot""]",[],"[""RULE_ml_leakage"",""RULE_missing_filter_cutoffs""]","[""REQ_acquisition_params"",""REQ_preprocessing_steps"",""REQ_ml_validation"",""REQ_reporting_software""]","{""type"":""raw_file_path""}","{""type"":""MethodsReportSection""}",EQ_PMC12505193_02|EQ_PMC7868344_01|EQ_PMC7868344_03,needs_attention,Evidence-backed conservative skeleton; scenario-owner approval is required before use.
TMPL_hyperscanning,Hyperscanning,hyperscanning,0.2.0,"[""ATOM_data_import"",""ATOM_optical_density"",""ATOM_motion_correction"",""ATOM_bandpass_filter"",""ATOM_mbll_conversion"",""ATOM_cross_correlation"",""ATOM_methods_report""]","[""data_import_slot"",""optical_density_conversion_slot"",""motion_correction_slot"",""bandpass_filter_slot"",""mbll_conversion_slot"",""resting_connectivity_slot"",""methods_report_generation_slot""]",[],"[""RULE_missing_filter_cutoffs"",""RULE_missing_motion_correction""]","[""REQ_acquisition_params"",""REQ_preprocessing_steps"",""REQ_hyperscanning"",""REQ_reporting_software""]","{""type"":""raw_file_path""}","{""type"":""MethodsReportSection""}",EQ_PMC9917717_01|EQ_PMC8231828_01|EQ_PMC7047008_01,needs_attention,Evidence-backed conservative skeleton; scenario-owner approval is required before use.
TMPL_reporting_export,Reporting Export,reporting_export,0.2.0,"[""ATOM_methods_report"",""ATOM_data_export""]","[""methods_report_generation_slot"",""data_export_slot""]",[],"[""RULE_missing_software_version""]","[""REQ_reporting_software""]","{""type"":""ProcessingLog""}","{""type"":""ExportedFile""}",EQ_PMC11833346_01|EQ_PMC11833346_02|EQ_PMC11833346_04,needs_attention,Evidence-backed conservative skeleton; scenario-owner approval is required before use.
