source_id,study_id,title,year,doi,pmid,pmcid,source_path_or_url,content_level,source_type,access_date,extraction_method,notes
SRC_31306264,STU_31306264,Continuous Near-infrared Spectroscopy Monitoring in Adult Traumatic Brain Injury: A Systematic Review.,2020,10.1097/ANA.0000000000000620,31306264,,../PDF2MD0708/31306264.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_32077780,STU_32077780,Near-Infrared Spectroscopy in Adult Circulatory Shock: A Systematic Review.,2020,10.1177/0885066620907307,32077780,,../PDF2MD0708/32077780.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_32120065,STU_32120065,Functional near-infrared spectroscopy reveals decreased resting oxygenation levels and task-related oxygenation changes in mild cognitive impairment and dementia: A systematic review.,2020,10.1016/j.jpsychires.2020.02.017,32120065,,../PDF2MD0708/32120065.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_32412988,STU_32412988,Towards integrative neuromonitoring of the surgical newborn: A systematic review.,2020,10.1097/EJA.0000000000001218,32412988,,../PDF2MD0708/32412988.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_32821023,STU_32821023,Non-Invasive Techniques for Multimodal Monitoring in Traumatic Brain Injury: Systematic Review and Meta-Analysis.,2020,10.1089/neu.2020.7266,32821023,,../PDF2MD0708/32821023.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_32959167,STU_32959167,A Systematic Review of the Application of Functional Near-Infrared Spectroscopy to the Study of Cerebral Hemodynamics in Healthy Aging.,2020,10.1007/s11065-020-09455-3,32959167,,../PDF2MD0708/32959167.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_33333181,STU_33333181,Cerebral regional oxygen saturation during cardiopulmonary resuscitation and return of spontaneous circulation: A systematic review and meta-analysis.,2020,10.1016/j.resuscitation.2020.12.002,33333181,,../PDF2MD0708/33333181.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_33359349,STU_33359349,An optical window into brain function in children and adolescents: A systematic review of functional near-infrared spectroscopy studies.,2020,10.1016/j.neuroimage.2020.117672,33359349,,../PDF2MD0708/33359349.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_34146793,STU_34146793,"Probing depression, schizophrenia, and other psychiatric disorders using fNIRS and the verbal fluency test: A systematic review and meta-analysis.",2021,10.1016/j.jpsychires.2021.06.015,34146793,,../PDF2MD0708/34146793.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_34171982,STU_34171982,Cerebral Hemodynamic Responses to the Difficulty Level of Ambulatory Tasks in Patients With Parkinson's Disease: A Systematic Review and Meta-Analysis.,2021,10.1177/15459683211028548,34171982,,../PDF2MD0708/34171982.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_34667270,STU_34667270,Normal regional tissue oxygen saturation in neonates: a systematic qualitative review.,2021,10.1038/s41390-021-01786-y,34667270,,../PDF2MD0708/34667270.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_35112526,STU_35112526,Neurobiological effects of urban built and natural environment on mental health: systematic review.,2022,10.1515/reveh-2021-0137,35112526,,../PDF2MD0708/35112526.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_35123299,STU_35123299,Functional near-infrared spectroscopy in the neuropsychological assessment of spatial memory: A systematic review.,2022,10.1016/j.actpsy.2022.103525,35123299,,../PDF2MD0708/35123299.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_35344941,STU_35344941,Neural decoding of semantic concepts: a systematic literature review.,2022,10.1088/1741-2552/ac619a,35344941,,../PDF2MD0708/35344941.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_35357703,STU_35357703,Viewing neurovascular coupling through the lens of combined EEG-fNIRS: A systematic review of current methods.,2022,10.1111/psyp.14054,35357703,,../PDF2MD0708/35357703.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_35378665,STU_35378665,Impact of Cerebral Autoregulation Monitoring in Cerebrovascular Disease: A Systematic Review.,2022,10.1007/s12028-022-01484-5,35378665,,../PDF2MD0708/35378665.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_36242719,STU_36242719,The experience of vertigo: A systematic review of neuroimaging studies.,2022,10.1007/s11682-022-00729-3,36242719,,../PDF2MD0708/36242719.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_36621584,STU_36621584,A systematic review of the neural correlates of well-being reveals no consistent associations.,2023,10.1016/j.neubiorev.2023.105036,36621584,,../PDF2MD0708/36621584.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_37003561,STU_37003561,Effect of acute cardiovascular exercise on cerebral blood flow: A systematic review.,2023,10.1016/j.brainres.2023.148355,37003561,,../PDF2MD0708/37003561.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_37356550,STU_37356550,A promising tool to explore functional impairment in neurodegeneration: A systematic review of near-infrared spectroscopy in dementia.,2023,10.1016/j.arr.2023.101992,37356550,,../PDF2MD0708/37356550.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_37862569,STU_37862569,Intraoperative Regional Cerebral Oxygenation During Pediatric Thoracoscopic Surgery: A Systematic Review.,2023,10.1089/lap.2023.0228,37862569,,../PDF2MD0708/37862569.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_37948131,STU_37948131,Effects of phenylephrine on systemic and cerebral circulations in humans: a systematic review with mechanistic explanations.,2023,10.1111/anae.16172,37948131,,../PDF2MD0708/37948131.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_38019047,STU_38019047,Attention Please! Unravelling the Link Between Brain Network Connectivity and Cognitive Attention Following Acquired Brain Injury: A Systematic Review of Structural and Functional Measures.,2024,10.1089/brain.2023.0067,38019047,,../PDF2MD0708/38019047.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_38295965,STU_38295965,Interpersonal neural synchronization during social interactions in close relationships: A systematic review and meta-analysis of fNIRS hyperscanning studies.,2024,10.1016/j.neubiorev.2024.105565,38295965,,../PDF2MD0708/38295965.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_38343363,STU_38343363,Brain Mechanisms Explaining Postural Imbalance in Traumatic Brain Injury: A Systematic Review.,2024,10.1089/brain.2023.0064,38343363,,../PDF2MD0708/38343363.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_38653901,STU_38653901,Using neuroimaging to assess brain activity and areas associated with surgical skills: a systematic review.,2024,10.1007/s00464-024-10830-x,38653901,,../PDF2MD0708/38653901.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
