rule_id,domain,scenario,severity,condition,message_template,suggested_action,target_flow_slot,target_atom_type,evidence_refs,review_required,notes
RULE_missing_filter_cutoffs,validation,general,high,missing filter cutoffs,Missing filter cutoffs,Review the linked evidence and configure the corresponding method explicitly.,bandpass_filter_slot,bandpass_filter,EQ_PMC11506513_03|EQ_PMID_40843107_03|EQ_PMID_40843107_04|EQ_PMID_42255351_08|EQ_PMC6953699_01|EV_VBIT_0232|EQ_PMC12877426_01|EV_VBIT_0001|EV_VBIT_0002|EQ_PMC13102829_01|EQ_PMC8564674_01|EQ_PMC7586414_01|EQ_PMC7506757_01|EQ_PMC7139562_01|EQ_PMC6866983_01|EQ_PMC10297241_01|EQ_PMC9163532_01|EQ_PMC12942210_01|EQ_PMC12565398_01,true,Conservative materialization from existing risk-rule links.
RULE_missing_motion_correction,validation,general,high,missing motion correction,Missing motion correction,Review the linked evidence and configure the corresponding method explicitly.,motion_correction_slot,motion_correction,EV_VBIT_0067|EV_VBIT_0068|EV_VBIT_0069|EV_VBIT_0072|EV_VBIT_0074|EV_VBIT_0076|EV_VBIT_0082|EV_VBIT_0085|EV_VBIT_0089|EV_VBIT_0091|EV_VBIT_0100|EV_VBIT_0101|EV_VBIT_0102|EV_VBIT_0107|EV_VBIT_0108|EV_VBIT_0110|EV_VBIT_0112|EV_VBIT_0116|EV_VBIT_0121|EV_VBIT_0123|EV_VBIT_0124|EV_VBIT_0126|EV_VBIT_0129|EV_VBIT_0131|EV_VBIT_0136|EV_VBIT_0139|EV_VBIT_0140|EV_VBIT_0143|EV_VBIT_0149|EV_VBIT_0158|EV_VBIT_0164|EV_VBIT_0166|EV_VBIT_0173|EV_VBIT_0175|EV_VBIT_0177|EV_VBIT_0178|EV_VBIT_0184|EV_VBIT_0185|EV_VBIT_0186|EV_VBIT_0188|EV_VBIT_0194|EV_VBIT_0201|EV_VBIT_0202|EV_VBIT_0203|EV_VBIT_0206|EV_VBIT_0208|EV_VBIT_0209|EV_VBIT_0210|EV_VBIT_0211|EV_VBIT_0214|EV_VBIT_0218|EV_VBIT_0231|EV_VBIT_0233|EV_VBIT_0235|EV_VBIT_0244|EV_VBIT_0246|EV_VBIT_0247|EV_VBIT_0251|EV_VBIT_0252|EV_VBIT_0256|EV_VBIT_0259|EV_VBIT_0264|EV_VBIT_0267|EV_VBIT_0269|EV_VBIT_0273|EV_VBIT_0276|EV_VBIT_0277|EV_VBIT_0278|EV_VBIT_0280|EV_VBIT_0284|EV_VBIT_0287|EV_VBIT_0290|EV_VBIT_0292|EV_VBIT_0296|EV_VBIT_0297|EV_VBIT_0300|EV_VBIT_0301|EV_VBIT_0305|EV_VBIT_0307|EV_VBIT_0308|EV_VBIT_0310|EV_VBIT_0312|EV_VBIT_0313|EV_VBIT_0320|EV_VBIT_0336|EQ_PMID_42255351_09|EQ_PMC6953699_01|EV_VBIT_0232|EQ_PMC13102829_01|EQ_PMC8564674_01|EQ_PMC7586414_01|EQ_PMC10297241_01|EQ_PMC12329493_01|EQ_PMC11793855_01|EQ_PMC11592962_01|EQ_PMC6297380_01|EV_VBIT_0003|EQ_PMC4801878_01|EV_VBIT_0016|EV_VBIT_0017,true,Conservative materialization from existing risk-rule links.
RULE_missing_multiple_comparison_correction,validation,general,high,missing multiple comparison correction,Missing multiple comparison correction,Review the linked evidence and configure the corresponding method explicitly.,multiple_comparison_slot,multiple_comparison_correction,EQ_PMC11833346_02|EQ_PMC8901827_03,true,Conservative materialization from existing risk-rule links.
RULE_missing_preregistration,validation,general,high,missing preregistration,Missing preregistration,Review the linked evidence and configure the corresponding method explicitly.,analysis_config_slot,study_design,EQ_PMC7396619_04|EQ_PMC13290608_01|EQ_PMC10277131_01|EQ_PMC12306464_01|EQ_PMC12581266_01|EQ_PMID_42313692_03,true,Conservative materialization from existing risk-rule links.
RULE_missing_software_version,validation,general,high,missing software version,Missing software version,Review the linked evidence and configure the corresponding method explicitly.,methods_report_generation_slot,methods_report_generation,EQ_PMC11833346_01|EQ_PMC7829673_01,true,Conservative materialization from existing risk-rule links.
RULE_ml_leakage,validation,general,high,ml leakage,Ml leakage,Review the linked evidence and configure the corresponding method explicitly.,validation_slot,subject_wise_cross_validation,EQ_PMC7040364_01|EV_VBIT_0233|EV_PMC7523733|EV_PMC6375904|EV_PMC8006181|EV_PMC12982450|EV_PMC12521986|EV_PMC4746294,true,Conservative materialization from existing risk-rule links.
RULE_sc_geometry,validation,general,high,sc geometry,Sc geometry,Review the linked evidence and configure the corresponding method explicitly.,short_channel_regression_slot,short_channel_regression,EQ_PMC11527908_01|EQ_PMC4524535_01|EV_VBIT_0228|EV_PMC12489784|EV_PMC12431421|EV_PMC13264803|EV_PMC12319781|EV_PMC11565806|EV_PMC11177928|EV_PMC10356754|EV_PMC10203730,true,Conservative materialization from existing risk-rule links.
